created_at	id	text	truncated	source	in_reply_to_status_id	in_reply_to_status_id_str	in_reply_to_user_id	in_reply_to_user_id_str	in_reply_to_screen_name	geo	coordinates	place	contributors	is_quote_status	retweet_count	favorite_count	favorited	retweeted	possibly_sensitive	lang	User_id	User_name	User_screen_name	User_location	User_url	User_followers_count	User_friends_count	User_favourites_count	User_utc_offset	time_zone	Tweet_data	
Tue Apr 26 00:39:02 +0000 2022	1518751471973670914	@favourK15 the google data analytics cert 🥹	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	1518749532640538625	1518749532640538625	1343936887598288896	1343936887598288896	favourK15	None	None	None	None	False	0	0	False	False		en	629674624	lisa	Ahhmeana	619 to 206	None	890	186	52326	None	None	@favourK15 the google data analytics cert 🥹
Tue Apr 26 00:39:02 +0000 2022	1518751471482937346	google show me this guys balls please	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	0	0	False	False		en	1403045451167899653	claire!!	akaclur	18 ⋆ she/they ⋆ bi ⋆ 5/40	https://t.co/bl2e8HOUqJ	1868	2495	57662	None	None	google show me this guys balls please
Tue Apr 26 00:39:01 +0000 2022	1518751468853112833	Now, how to find my people on twt? [Google search]	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	False	0	0	False	False		en	1518376993896734721	Jade 🍄	VampiricShroomy	header: @izuoran (Tumbr)	None	3	0	10	None	None	Now, how to find my people on twt? [Google search]
Tue Apr 26 00:39:01 +0000 2022	1518751467590623232	@hauntedmiIa I KNOW! at first i thought it was from the premier of cats in 2019 but then i did a little research on… https://t.co/Ehgh7AN991	True	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	1518751000391450624	1518751000391450624	1217799393622888449	1217799393622888449	hauntedmiIa	None	None	None	None	False	0	0	False	False	False	en	1060242277468176390	mer⸆⸉ 🍂	MILFISMLOVER	🪐🦢🍸🫐 🪸🦩🪴🥥🍡🧺🕊🪷🧋	https://t.co/5O4f8KeZPV	9459	5905	128616	None	None	@hauntedmiIa I KNOW! at first i thought it was from the premier of cats in 2019 but then i did a little research on google and it turns out the pics were from 2015 I WAS SHOCKED https://t.co/toxqMO6HhV
Tue Apr 26 00:39:01 +0000 2022	1518751466915213314	Central Division responding to '40/01 - Other' at Columbia Ave / Juliette Fowler St | Beat 112 | 19:36:25 | https://t.co/BkayToxctx	False	<a href="http://firerescuephotos.com/fa" rel="nofollow">DPD Central</a>	None	None	None	None	None	None	None	None	None	False	0	0	False	False	False	en	2891872884	Dallas PD Central	dpdcentral	Dallas, Texas	None	3584	6	0	None	None	Central Division responding to '40/01 - Other' at Columbia Ave / Juliette Fowler St | Beat 112 | 19:36:25 | https://t.co/BkayToxctx
Tue Apr 26 00:39:00 +0000 2022	1518751464411254784	RT @maddi_pow: Obsessed with the new "add emoji reaction" on Google Docs. This will change the @FORRTproject collaborative writing game for…	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	3	0	False	False		en	805251621584244736	Yara Abdelaty	yara_york	York, England	None	567	1518	3181	None	None	Obsessed with the new "add emoji reaction" on Google Docs. This will change the @FORRTproject collaborative writing game forever https://t.co/ntLrrDSCJK
Tue Apr 26 00:39:00 +0000 2022	1518751463828295686	{Comments Or Questions ID.Download Our WRJR Real JAMZ APP absolutely FREE. Click the link NOW: https://t.co/2tNrP6Wal8	False	<a href="https://radio.co" rel="nofollow">Radio.co now playing</a>	None	None	None	None	None	None	None	None	None	False	0	0	False	False	False	en	4359277816	The WRJR Network	WRJRJAMZ	Detroit, MI	https://t.co/0cOoBG4pXV	329	885	1660	None	None	{Comments Or Questions ID.Download Our WRJR Real JAMZ APP absolutely FREE. Click the link NOW: https://t.co/2tNrP6Wal8
Tue Apr 26 00:39:00 +0000 2022	1518751463660470272	@makoto Google aint release that one yet	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	1518750898763100160	1518750898763100160	389650512	389650512	makoto	None	None	None	None	False	0	0	False	False		en	1324391826	BLANCHET	BEAULICE99		None	6	5	33	None	None	@makoto Google aint release that one yet
Tue Apr 26 00:39:00 +0000 2022	1518751462062493703	RT @djrothkopf: The richest guy on the 2021 Forbes 400 owns the Washington Post. Number 2 now owns Twitter. Number 3 owns Facebook. Numbers…	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	12983	0	False	False		en	624203522	S.D.	dial_dial29		None	20	241	316	None	None	The richest guy on the 2021 Forbes 400 owns the Washington Post. Number 2 now owns Twitter. Number 3 owns Facebook. Numbers 5 and 6 started Google. Numbers 4 and 9 started Microsoft. Number 10 owns Bloomberg. Free speech? You decide.
Tue Apr 26 00:38:59 +0000 2022	1518751457515741184	RT @djrothkopf: The richest guy on the 2021 Forbes 400 owns the Washington Post. Number 2 now owns Twitter. Number 3 owns Facebook. Numbers…	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	12983	0	False	False		en	593107059	scottpowell	scottypowell81		None	108	378	16516	None	None	The richest guy on the 2021 Forbes 400 owns the Washington Post. Number 2 now owns Twitter. Number 3 owns Facebook. Numbers 5 and 6 started Google. Numbers 4 and 9 started Microsoft. Number 10 owns Bloomberg. Free speech? You decide.
